CoinID,Year,CoinType,Nation
290,2002,2cent,French
291,2002,2cent,French
292,2002,2cent,French
293,2002,2cent,French
294,2002,2cent,French
295,2002,2cent,French
296,2002,2cent,French
297,2002,2cent,French
298,2002,2cent,French
299,2002,2cent,French
300,2002,2cent,French
301,2002,2cent,French
302,2002,2cent,French
303,2002,2cent,French
304,2002,2cent,French
305,2002,5cent,French
306,2002,5cent,French
307,2002,5cent,French
308,2002,5cent,French
309,2002,5cent,French
310,2002,5cent,French
311,2002,10cent,French
312,2002,10cent,French
313,2002,10cent,French
314,2002,20cent,French
315,2002,20cent,French
316,2002,20cent,French
317,2002,20cent,French
318,2002,20cent,French
319,2002,50cent,French
320,2002,50cent,French
321,2002,1euro,French
322,2002,1euro,French
323,2002,1euro,French
324,2002,1euro,French
325,2002,1euro,French
326,2002,1euro,French
327,2002,1cent,French
328,2002,2cent,French
329,2002,2cent,French
330,2002,2cent,French
331,2002,2cent,French
332,2002,5cent,French
333,2002,1euro,French
334,2002,2euro,French
335,2002,2euro,French
336,2002,20cent,French
337,2002,2euro,French
338,2002,1cent,French
339,2002,1cent,French
340,2002,1cent,French
341,2002,1cent,French
342,2002,2cent,French
343,2002,2cent,French
344,2002,2cent,French
345,2002,2cent,French
346,2002,5cent,French
347,2002,5cent,French
348,2002,10cent,French
349,2002,10cent,French
350,2002,10cent,French
351,2002,10cent,French
352,2002,10cent,French
353,2002,10cent,French
354,2002,20cent,French
355,2002,20cent,French
356,2002,20cent,French
357,2002,50cent,French
358,2002,50cent,French
359,2002,50cent,French
360,2002,2euro,French
361,2002,2euro,French
362,2002,2euro,French
363,2002,1cent,French
364,2002,2cent,French
365,2002,5cent,French
366,2002,10cent,French
367,2002,20cent,French
368,2002,50cent,French
369,2002,1euro,French
370,2002,2euro,French
371,2002,5cent,French
372,2002,20cent,French
373,2002,2euro,French
374,2002,2euro,French
375,2002,2euro,French
376,2002,2cent,French
377,2002,2cent,French
378,2002,5cent,French
379,2002,5cent,French
380,2002,5cent,French
381,2002,5cent,French
382,2002,5cent,French
383,2002,10cent,French
384,2002,2euro,French
385,2002,2euro,French
386,2002,1cent,French
387,2002,1cent,French
388,2002,2cent,French
389,2002,10cent,French
390,2002,1euro,French
391,2002,2euro,French
392,2002,2cent,French
393,2002,2cent,French
394,2002,2cent,French
395,2002,2cent,French
396,2002,2cent,French
397,2002,5cent,French
398,2002,5cent,French
399,2002,5cent,French
400,2002,5cent,French
401,2002,5cent,French
402,2002,10cent,French
403,2002,20cent,French
404,2002,20cent,French
405,2002,20cent,French
406,2002,20cent,French
407,2002,20cent,French
408,2002,5cent,French
409,2002,5cent,French
410,2002,5cent,French
411,2002,10cent,French
412,2002,10cent,French
413,2002,20cent,French
414,2002,50cent,French
415,2002,1cent,French
416,2002,1cent,French
417,2002,2cent,French
418,2002,2cent,French
419,2002,2cent,French
420,2002,2cent,French
421,2002,5cent,French
422,2002,10cent,French
423,2002,10cent,French
424,2002,10cent,French
425,2002,20cent,French
426,2002,50cent,French
427,2002,50cent,French
428,2002,1euro,French
429,2002,2euro,French
430,2002,2euro,French
431,2002,1cent,French
432,2002,1cent,French
433,2002,2cent,French
434,2002,2cent,French
435,2002,2cent,French
436,2002,2cent,French
437,2002,20cent,French
438,2002,20cent,French
439,2002,20cent,French
440,2002,1cent,French
441,2002,1cent,French
442,2002,1cent,French
443,2002,1cent,French
444,2002,1cent,French
445,2002,2cent,French
446,2002,2cent,French
447,2002,2cent,French
448,2002,2cent,French
449,2002,2cent,French
450,2002,2cent,French
451,2002,10cent,French
452,2002,10cent,French
453,2002,50cent,French
454,2002,2euro,French
455,2002,2euro,French
456,2002,1cent,French
457,2002,1cent,French
458,2002,5cent,French
459,2002,5cent,French
460,2002,5cent,French
461,2002,5cent,French
462,2002,10cent,French
463,2002,10cent,French
464,2002,10cent,French
465,2002,10cent,French
466,2002,10cent,French
